id,name,description,cpu_class,socket,clock_speed,turbo_speed,cores,threads,total_cores,primary_cores,secondary_cores,performance_cores,efficient_cores,typical_tdp,tdp_down,tdp_up,cache_per_cpu_package,cache_per_effective_cpu_package,memory_support,other_names,first_seen_on_charts,cpu_mark_per_dollar_price,overall_rank,last_price_change,multi_thread_rating,single_thread_rating,num_samples,margin_for_error,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,relative_gaming_score
1,Intel Core i7-2600 @ 3.40GHz,,Desktop,LGA1155,3.4 GHz,3.8 GHz,4,8,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",Q4 2010,28.20,2039th fastest in multithreading out of 5149 CPUs; 2071st fastest in single threading out of 5149 CPUs; 575th fastest in out of 1449 Desktop CPUs,$189.69 USD (2025-05-30),5350,1737,11020,Low,"20,811 MOps/Sec","7,773 MOps/Sec",25 Million Primes/Sec,"13,093 Thousand Strings/Sec","1,604 MBytes/Sec","90,402 KBytes/Sec",375 Frames/Sec,"3,965 Million Matrices/Sec",641
2,Intel Core i7-3770K @ 3.50GHz,,Desktop,LGA1155,3.5 GHz,3.9 GHz,4,8,,,,,,77 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz, Intel Core i7-3770K CPU @ 3.50GHz",Q2 2012,32.25,1794th fastest in multithreading out of 5149 CPUs; 1541st fastest in single threading out of 5149 CPUs; 527th fastest in out of 1449 Desktop CPUs,$200.98 USD (2025-06-12),6481,2072,10013,Low,"23,079 MOps/Sec","11,678 MOps/Sec",30 Million Primes/Sec,"14,207 Thousand Strings/Sec","1,887 MBytes/Sec","105,986 KBytes/Sec",472 Frames/Sec,"4,499 Million Matrices/Sec",788
3,Intel Core i5-450M @ 2.40GHz,,Laptop,PGA988A,2.4 GHz,2.7 GHz,2,4,,,,,,35 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 3 MB,,,"Intel(R) Core(TM) i5 CPU M 450 @ 2.40GHz, Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz, Intel Core i5 CPU       M 450  @ 2.40GHz",Q2 2010,39.28,3775th fastest in multithreading out of 5149 CPUs; 3348th fastest in single threading out of 5149 CPUs; 917th fastest in out of 1491 Laptop CPUs,$31.95 USD (2016-08-27),1255,1051,647,Low,"6,513 MOps/Sec","2,896 MOps/Sec",8 Million Primes/Sec,"3,655 Thousand Strings/Sec",231.6 MBytes/Sec,"27,080 KBytes/Sec",156 Frames/Sec,744 Million Matrices/Sec,251
5,Intel Core2 Duo E8500 @ 3.16GHz,,Desktop,LGA775,3.2 GHz,,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 1 x 6144 KB,,,"Intel(R) Core(TM)2 Duo CPU E8500 @ 3.16GHz, Intel(R) Core(TM)2 CPU E8500 @ 3.16GHz, Intel Core2 Duo CPU     E8500  @ 3.16GHz",Q4 2008,11.76,3744th fastest in multithreading out of 5149 CPUs; 2778th fastest in single threading out of 5149 CPUs; 1131st fastest in out of 1449 Desktop CPUs,$109.95 USD (2025-02-27),1293,1323,2510,Low,"5,599 MOps/Sec","3,284 MOps/Sec",10 Million Primes/Sec,"3,592 Thousand Strings/Sec",325.8 MBytes/Sec,"26,702 KBytes/Sec",155 Frames/Sec,462 Million Matrices/Sec,244
6,Intel Core i7-860 @ 2.80GHz,,Desktop,LGA1156,2.8 GHz,3.5 GHz,4,8,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7 CPU 860 @ 2.80GHz, Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz",Q3 2009,75.54,2681st fastest in multithreading out of 5149 CPUs; 2771st fastest in single threading out of 5149 CPUs; 789th fastest in out of 1449 Desktop CPUs,$40.00 USD (2025-04-20),3022,1327,4271,Low,"15,999 MOps/Sec","6,858 MOps/Sec",22 Million Primes/Sec,"8,770 Thousand Strings/Sec",564.2 MBytes/Sec,"65,214 KBytes/Sec",359 Frames/Sec,"1,860 Million Matrices/Sec",560
7,AMD Phenom II X4 945,,Desktop,AM3,3.0 GHz,,4,4,,,,,,125 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 512 KB; L3 Cache: 6 MB,,,AMD Phenom(tm) II X4 945 Processor,Q2 2009,54.82,2994th fastest in multithreading out of 5149 CPUs; 2939th fastest in single threading out of 5149 CPUs; 869th fastest in out of 1449 Desktop CPUs,$44.04 USD (2024-07-26),2414,1235,1675,Low,"7,130 MOps/Sec","5,270 MOps/Sec",14 Million Primes/Sec,"6,559 Thousand Strings/Sec",638.8 MBytes/Sec,"52,676 KBytes/Sec",202 Frames/Sec,"1,235 Million Matrices/Sec",340
8,Intel Core i7-3820 @ 3.60GHz,,Desktop,LGA2011,3.6 GHz,3.8 GHz,4,8,,,,,,130 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 10 MB,,,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",Q1 2012,16.52,1927th fastest in multithreading out of 5149 CPUs; 2059th fastest in single threading out of 5149 CPUs; 552nd fastest in out of 1449 Desktop CPUs,$349.88 USD (2025-02-26),5781,1743,3154,Low,"21,958 MOps/Sec","8,196 MOps/Sec",29 Million Primes/Sec,"13,969 Thousand Strings/Sec","1,726 MBytes/Sec","94,644 KBytes/Sec",522 Frames/Sec,"4,204 Million Matrices/Sec",863
9,Intel Core2 Quad Q8300 @ 2.50GHz,,Desktop,LGA775,2.5 GHz,,4,4,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 2 x 2048 KB,,,"Intel(R) Core(TM)2 Quad CPU Q8300 @ 2.50GHz, Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz, Intel Core2 Quad CPU    Q8300  @ 2.50GHz",Q1 2009,24.12,3299th fastest in multithreading out of 5149 CPUs; 3326th fastest in single threading out of 5149 CPUs; 980th fastest in out of 1449 Desktop CPUs,$79.10 USD (2024-05-07),1908,1062,2114,Low,"9,156 MOps/Sec","5,226 MOps/Sec",7 Million Primes/Sec,"5,567 Thousand Strings/Sec",509.9 MBytes/Sec,"42,008 KBytes/Sec",144 Frames/Sec,741 Million Matrices/Sec,147
10,AMD A10-4600M APU,,Laptop,FS1r2,2.3 GHz,3.2 GHz,4 (in 2 physical modules),,,,,,,35 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 2048 KB,,,AMD A10-4600M APU with Radeon(tm) HD Graphics,Q2 2012,26.98,3278th fastest in multithreading out of 5149 CPUs; 3286th fastest in single threading out of 5149 CPUs; 770th fastest in out of 1491 Laptop CPUs,$72.02 USD (2024-05-25),1943,1080,1097,Low,"12,843 MOps/Sec","3,523 MOps/Sec",10 Million Primes/Sec,"3,985 Thousand Strings/Sec",576.6 MBytes/Sec,"30,680 KBytes/Sec",212 Frames/Sec,784 Million Matrices/Sec,387
11,AMD A10-4655M APU,,Laptop,FP2,2.0 GHz,2.8 GHz,4 (in 2 physical modules),,,,,,,25 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 2048 KB,,,AMD A10-4655M APU with Radeon(tm) HD Graphics,Q3 2012,NA,3482nd fastest in multithreading out of 5149 CPUs; 3676th fastest in single threading out of 5149 CPUs; 831st fastest in out of 1491 Laptop CPUs,NA,1651,896,165,Low,"11,198 MOps/Sec","2,961 MOps/Sec",8 Million Primes/Sec,"3,469 Thousand Strings/Sec",488.6 MBytes/Sec,"26,647 KBytes/Sec",166 Frames/Sec,674 Million Matrices/Sec,308
12,AMD A10-5700 APU,,Desktop,FM2,3.4 GHz,4.0 GHz,4 (in 2 physical modules),,,,,,,65 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 2048 KB,,,AMD A10-5700 APU with Radeon(tm) HD Graphics,Q2 2012,40.32,2805th fastest in multithreading out of 5149 CPUs; 2586th fastest in single threading out of 5149 CPUs; 822nd fastest in out of 1449 Desktop CPUs,$68.02 USD (2023-05-26),2742,1428,705,Low,"18,104 MOps/Sec","4,916 MOps/Sec",11 Million Primes/Sec,"5,690 Thousand Strings/Sec",835.5 MBytes/Sec,"45,699 KBytes/Sec",241 Frames/Sec,"1,149 Million Matrices/Sec",461
13,AMD A4-3300 APU,,Desktop,FM1,2.5 GHz,,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 512 KB,,,AMD A4-3300 APU with Radeon(tm) HD Graphics,Q4 2011,16.88,4086th fastest in multithreading out of 5149 CPUs; 3467th fastest in single threading out of 5149 CPUs; 1230th fastest in out of 1449 Desktop CPUs,$56.61 USD (2024-09-13),956,990,207,Low,"2,802 MOps/Sec","2,276 MOps/Sec",5 Million Primes/Sec,"2,637 Thousand Strings/Sec",238.8 MBytes/Sec,"20,181 KBytes/Sec",99 Frames/Sec,499 Million Matrices/Sec,232
14,AMD A4-3300M APU,,Laptop,FM1,1.9 GHz,2.5 GHz,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 1024 KB,,,AMD A4-3300M APU with Radeon(tm) HD Graphics,Q3 2011,24.11,4352nd fastest in multithreading out of 5149 CPUs; 3876th fastest in single threading out of 5149 CPUs; 1141st fastest in out of 1491 Laptop CPUs,$29.99 USD (2016-10-22),723,786,275,Low,"1,985 MOps/Sec","1,599 MOps/Sec",5 Million Primes/Sec,"2,043 Thousand Strings/Sec",194.1 MBytes/Sec,"16,242 KBytes/Sec",92 Frames/Sec,358 Million Matrices/Sec,202
15,AMD A4-3305M APU,,Laptop,FS1,1.9 GHz,2.5 GHz,2,2,,,,,,35 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 512 KB,,,AMD A4-3305M APU with Radeon(tm) HD Graphics,Q1 2012,36.62,4302nd fastest in multithreading out of 5149 CPUs; 3785th fastest in single threading out of 5149 CPUs; 1123rd fastest in out of 1491 Laptop CPUs,$20.81 USD (2020-06-20),762,835,217,Low,"1,869 MOps/Sec","1,746 MOps/Sec",4 Million Primes/Sec,"2,104 Thousand Strings/Sec",204.5 MBytes/Sec,"16,945 KBytes/Sec",89 Frames/Sec,376 Million Matrices/Sec,203
16,AMD A4-3310MX APU,,Laptop,FS1,2.1 GHz,2.3 GHz,2,2,,,,,,45 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 1024 KB,,,AMD A4-3310MX APU with Radeon(tm) HD Graphics,Q4 2011,NA,4281st fastest in multithreading out of 5149 CPUs; 3792nd fastest in single threading out of 5149 CPUs; 1114th fastest in out of 1491 Laptop CPUs,NA,782,832,51,Low,"1,700 MOps/Sec","1,683 MOps/Sec",5 Million Primes/Sec,"2,158 Thousand Strings/Sec",224.8 MBytes/Sec,"17,875 KBytes/Sec",96 Frames/Sec,377 Million Matrices/Sec,212
17,AMD A4-3320M APU,,Laptop,FS1,2.0 GHz,2.6 GHz,2,2,,,,,,35 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 1024 KB,,,AMD A4-3320M APU with Radeon(tm) HD Graphics,Q1 2012,17.12,4423rd fastest in multithreading out of 5149 CPUs; 4023rd fastest in single threading out of 5149 CPUs; 1167th fastest in out of 1491 Laptop CPUs,$39.00 USD (2021-02-16),668,708,37,Low,"1,553 MOps/Sec","1,477 MOps/Sec",3 Million Primes/Sec,"1,705 Thousand Strings/Sec",163.8 MBytes/Sec,"12,970 KBytes/Sec",80 Frames/Sec,282 Million Matrices/Sec,177
18,AMD A4-3400 APU,,Desktop,FM1,2.7 GHz,,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 512 KB,,,AMD A4-3400 APU with Radeon(tm) HD Graphics,Q3 2011,13.63,3939th fastest in multithreading out of 5149 CPUs; 3277th fastest in single threading out of 5149 CPUs; 1190th fastest in out of 1449 Desktop CPUs,$79.95 USD (2025-01-16),1089,1084,303,Low,"3,146 MOps/Sec","2,393 MOps/Sec",5 Million Primes/Sec,"2,951 Thousand Strings/Sec",278.9 MBytes/Sec,"23,745 KBytes/Sec",107 Frames/Sec,577 Million Matrices/Sec,252
19,AMD A4-3420 APU,,Desktop,FM1,2.8 GHz,,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 512 KB,,,AMD A4-3420 APU with Radeon(tm) HD Graphics,Q1 2012,7.84,3975th fastest in multithreading out of 5149 CPUs; 3191st fastest in single threading out of 5149 CPUs; 1198th fastest in out of 1449 Desktop CPUs,$136.00 USD (2021-06-01),1067,1119,110,Low,"3,105 MOps/Sec","2,359 MOps/Sec",5 Million Primes/Sec,"2,950 Thousand Strings/Sec",272.3 MBytes/Sec,"22,522 KBytes/Sec",110 Frames/Sec,549 Million Matrices/Sec,259
20,AMD A6-3400M APU,,Laptop,FS1,1.4 GHz,2.3 GHz,4,4,,,,,,35 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3400M APU with Radeon(tm) HD Graphics,Q2 2011,49.81,3813th fastest in multithreading out of 5149 CPUs; 4027th fastest in single threading out of 5149 CPUs; 931st fastest in out of 1491 Laptop CPUs,$24.45 USD (2022-05-12),1218,702,676,Low,"3,211 MOps/Sec","2,851 MOps/Sec",8 Million Primes/Sec,"3,366 Thousand Strings/Sec",315.5 MBytes/Sec,"26,550 KBytes/Sec",146 Frames/Sec,615 Million Matrices/Sec,171
21,AMD A6-3410MX APU,,Laptop,FS1,1.6 GHz,2.3 GHz,4,4,,,,,,45 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3410MX APU with Radeon(tm) HD Graphics,Q3 2011,318.39,3763rd fastest in multithreading out of 5149 CPUs; 3976th fastest in single threading out of 5149 CPUs; 912th fastest in out of 1491 Laptop CPUs,$3.99 USD (2018-12-22),1270,736,145,Low,"3,165 MOps/Sec","2,964 MOps/Sec",8 Million Primes/Sec,"3,568 Thousand Strings/Sec",344.3 MBytes/Sec,"28,229 KBytes/Sec",148 Frames/Sec,622 Million Matrices/Sec,175
22,AMD A6-3420M APU,,Laptop,FS1,1.5 GHz,2.4 GHz,4,4,,,,,,35 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3420M APU with Radeon(tm) HD Graphics,Q1 2012,NA,3736th fastest in multithreading out of 5149 CPUs; 3895th fastest in single threading out of 5149 CPUs; 900th fastest in out of 1491 Laptop CPUs,NA,1302,775,735,Low,"3,294 MOps/Sec","2,994 MOps/Sec",8 Million Primes/Sec,"3,608 Thousand Strings/Sec",347.9 MBytes/Sec,"29,055 KBytes/Sec",151 Frames/Sec,656 Million Matrices/Sec,182
23,AMD A6-3430MX APU,,Laptop,FS1,1.7 GHz,2.4 GHz,4,4,,,,,,45 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3430MX APU with Radeon(tm) HD Graphics,Q1 2012,NA,3672nd fastest in multithreading out of 5149 CPUs; 3893rd fastest in single threading out of 5149 CPUs; 879th fastest in out of 1491 Laptop CPUs,NA,1389,776,46,Low,"3,693 MOps/Sec","3,443 MOps/Sec",8 Million Primes/Sec,"3,746 Thousand Strings/Sec",388.0 MBytes/Sec,"31,068 KBytes/Sec",136 Frames/Sec,671 Million Matrices/Sec,172
24,AMD A6-3500 APU,,Desktop,FM1,2.1 GHz,2.4 GHz,3,3,,,,,,65 W,,,L1 Instruction Cache: 3 x 64 KB; L1 Data Cache: 3 x 64 KB; L2 Cache: 3 x 1024 KB,,,AMD A6-3500 APU with Radeon(tm) HD Graphics,Q3 2011,23.88,3633rd fastest in multithreading out of 5149 CPUs; 3520th fastest in single threading out of 5149 CPUs; 1096th fastest in out of 1449 Desktop CPUs,$60.23 USD (2024-05-07),1438,965,283,Low,"4,070 MOps/Sec","3,076 MOps/Sec",8 Million Primes/Sec,"3,777 Thousand Strings/Sec",371.9 MBytes/Sec,"30,413 KBytes/Sec",152 Frames/Sec,767 Million Matrices/Sec,234
25,AMD A6-3600 APU,,Desktop,FM1,2.1 GHz,2.4 GHz,4,4,,,,,,65 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3600 APU with Radeon(tm) HD Graphics,Q4 2011,68.02,3450th fastest in multithreading out of 5149 CPUs; 3637th fastest in single threading out of 5149 CPUs; 1027th fastest in out of 1449 Desktop CPUs,$24.95 USD (2020-06-04),1697,909,138,Low,"4,880 MOps/Sec","3,973 MOps/Sec",9 Million Primes/Sec,"4,452 Thousand Strings/Sec",457.7 MBytes/Sec,"36,039 KBytes/Sec",164 Frames/Sec,860 Million Matrices/Sec,204
26,AMD A6-3620 APU,,Desktop,FM1,2.2 GHz,2.5 GHz,4,4,,,,,,65 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3620 APU with Radeon(tm) HD Graphics,Q1 2012,83.09,3329th fastest in multithreading out of 5149 CPUs; 3481st fastest in single threading out of 5149 CPUs; 991st fastest in out of 1449 Desktop CPUs,$22.49 USD (2020-06-13),1869,982,318,Low,"5,416 MOps/Sec","4,093 MOps/Sec",10 Million Primes/Sec,"5,008 Thousand Strings/Sec",485.6 MBytes/Sec,"40,708 KBytes/Sec",180 Frames/Sec,997 Million Matrices/Sec,223
27,AMD A6-3650 APU,,Desktop,FM1,2.6 GHz,,4,4,,,,,,100 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3650 APU with Radeon(tm) HD Graphics,Q3 2011,16.33,3191st fastest in multithreading out of 5149 CPUs; 3354th fastest in single threading out of 5149 CPUs; 940th fastest in out of 1449 Desktop CPUs,$128.00 USD (2021-10-11),2090,1047,337,Low,"5,975 MOps/Sec","4,657 MOps/Sec",11 Million Primes/Sec,"5,558 Thousand Strings/Sec",556.2 MBytes/Sec,"45,141 KBytes/Sec",191 Frames/Sec,"1,131 Million Matrices/Sec",237
28,AMD A6-3670 APU,,Desktop,FM1,2.7 GHz,,4,4,,,,,,100 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A6-3670 APU with Radeon(tm) HD Graphics,Q1 2012,39.70,3139th fastest in multithreading out of 5149 CPUs; 3125th fastest in single threading out of 5149 CPUs; 919th fastest in out of 1449 Desktop CPUs,$54.95 USD (2023-01-28),2182,1146,216,Low,"6,344 MOps/Sec","4,843 MOps/Sec",10 Million Primes/Sec,"5,869 Thousand Strings/Sec",574.8 MBytes/Sec,"48,031 KBytes/Sec",179 Frames/Sec,"1,217 Million Matrices/Sec",240
29,AMD A6-4400M APU,,Laptop,FS1r2,2.7 GHz,3.2 GHz,2 (in 1 physical modules),,,,,,,35 W,,,L1 Instruction Cache: 2 x 16 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 1024 KB,,,AMD A6-4400M APU with Radeon(tm) HD Graphics,Q2 2012,40.02,4046th fastest in multithreading out of 5149 CPUs; 3410th fastest in single threading out of 5149 CPUs; 1023rd fastest in out of 1491 Laptop CPUs,$24.95 USD (2024-05-07),998,1020,838,Low,"6,392 MOps/Sec","1,873 MOps/Sec",4 Million Primes/Sec,"2,090 Thousand Strings/Sec",293.5 MBytes/Sec,"15,997 KBytes/Sec",107 Frames/Sec,402 Million Matrices/Sec,378
30,AMD A6-4455M APU,,Laptop,FP2,2.1 GHz,2.6 GHz,2 (in 1 physical modules),,,,,,,17 W,,,L1 Instruction Cache: 2 x 16 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 2048 KB,,,AMD A6-4455M APU with Radeon(tm) HD Graphics,Q3 2012,NA,4267th fastest in multithreading out of 5149 CPUs; 3903rd fastest in single threading out of 5149 CPUs; 1105th fastest in out of 1491 Laptop CPUs,NA,792,771,215,Low,"4,851 MOps/Sec","1,413 MOps/Sec",4 Million Primes/Sec,"1,671 Thousand Strings/Sec",230.0 MBytes/Sec,"12,516 KBytes/Sec",87 Frames/Sec,314 Million Matrices/Sec,303
31,AMD A8-3500M APU,,Laptop,FS1,1.5 GHz,2.4 GHz,4,4,,,,,,35 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3500M APU with Radeon(tm) HD Graphics,Q3 2011,23.25,3670th fastest in multithreading out of 5149 CPUs; 3847th fastest in single threading out of 5149 CPUs; 878th fastest in out of 1491 Laptop CPUs,$59.95 USD (2020-07-07),1394,802,269,Low,"3,364 MOps/Sec","3,182 MOps/Sec",9 Million Primes/Sec,"3,874 Thousand Strings/Sec",386.4 MBytes/Sec,"31,504 KBytes/Sec",160 Frames/Sec,701 Million Matrices/Sec,190
32,AMD A8-3510MX APU,,Laptop,FS1,1.8 GHz,2.5 GHz,4,4,,,,,,45 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3510MX APU with Radeon(tm) HD Graphics,Q3 2011,21.15,3496th fastest in multithreading out of 5149 CPUs; 3666th fastest in single threading out of 5149 CPUs; 835th fastest in out of 1491 Laptop CPUs,$77.11 USD (2020-03-18),1631,898,95,Low,"4,414 MOps/Sec","3,804 MOps/Sec",10 Million Primes/Sec,"4,416 Thousand Strings/Sec",442.1 MBytes/Sec,"36,491 KBytes/Sec",172 Frames/Sec,835 Million Matrices/Sec,209
33,AMD A8-3520M APU,,Laptop,FS1,1.6 GHz,2.5 GHz,4,4,,,,,,35 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3520M APU with Radeon(tm) HD Graphics,Q1 2012,26.42,3622nd fastest in multithreading out of 5149 CPUs; 3773rd fastest in single threading out of 5149 CPUs; 863rd fastest in out of 1491 Laptop CPUs,$55.00 USD (2020-04-13),1453,840,238,Low,"3,820 MOps/Sec","3,390 MOps/Sec",9 Million Primes/Sec,"3,964 Thousand Strings/Sec",382.8 MBytes/Sec,"31,827 KBytes/Sec",165 Frames/Sec,741 Million Matrices/Sec,197
34,AMD A8-3530MX APU,,Laptop,FS1,1.9 GHz,2.6 GHz,4,4,,,,,,45 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3530MX APU with Radeon(tm) HD Graphics,Q3 2011,NA,3508th fastest in multithreading out of 5149 CPUs; 3574th fastest in single threading out of 5149 CPUs; 839th fastest in out of 1491 Laptop CPUs,NA,1608,938,89,Low,"3,956 MOps/Sec","3,953 MOps/Sec",9 Million Primes/Sec,"4,881 Thousand Strings/Sec",441.2 MBytes/Sec,"36,696 KBytes/Sec",181 Frames/Sec,788 Million Matrices/Sec,219
35,AMD A8-3550MX APU,,Laptop,FS1,2.0 GHz,2.7 GHz,4,4,,,,,,45 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3550MX APU with Radeon(tm) HD Graphics,Q1 2012,NA,3457th fastest in multithreading out of 5149 CPUs; 3526th fastest in single threading out of 5149 CPUs; 818th fastest in out of 1491 Laptop CPUs,NA,1687,962,15,Medium,"4,300 MOps/Sec","3,780 MOps/Sec",9 Million Primes/Sec,"4,611 Thousand Strings/Sec",509.6 MBytes/Sec,"38,436 KBytes/Sec",121 Frames/Sec,958 Million Matrices/Sec,183
36,AMD A8-3800 APU,,Desktop,FM1,2.4 GHz,2.7 GHz,4,4,,,,,,65 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3800 APU with Radeon(tm) HD Graphics,Q3 2011,51.13,3215th fastest in multithreading out of 5149 CPUs; 3365th fastest in single threading out of 5149 CPUs; 947th fastest in out of 1449 Desktop CPUs,$40.00 USD (2024-10-19),2045,1042,179,Low,"6,492 MOps/Sec","4,660 MOps/Sec",10 Million Primes/Sec,"5,440 Thousand Strings/Sec",520.2 MBytes/Sec,"44,195 KBytes/Sec",184 Frames/Sec,"1,128 Million Matrices/Sec",232
37,AMD A8-3820 APU,,Desktop,FM1,2.5 GHz,2.8 GHz,4,4,,,,,,65 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3820 APU with Radeon(tm) HD Graphics,Q1 2012,48.69,3134th fastest in multithreading out of 5149 CPUs; 3170th fastest in single threading out of 5149 CPUs; 917th fastest in out of 1449 Desktop CPUs,$44.95 USD (2020-03-22),2189,1128,140,Low,"6,505 MOps/Sec","5,045 MOps/Sec",11 Million Primes/Sec,"5,810 Thousand Strings/Sec",569.0 MBytes/Sec,"46,954 KBytes/Sec",205 Frames/Sec,"1,151 Million Matrices/Sec",255
38,AMD A8-3850 APU,,Desktop,FM1,2.9 GHz,,4,4,,,,,,100 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 1024 KB,,,AMD A8-3850 APU with Radeon(tm) HD Graphics,Q2 2011,32.16,2995th fastest in multithreading out of 5149 CPUs; 2975th fastest in single threading out of 5149 CPUs; 870th fastest in out of 1449 Desktop CPUs,$75.00 USD (2024-10-29),2412,1221,518,Low,"6,943 MOps/Sec","5,300 MOps/Sec",11 Million Primes/Sec,"6,407 Thousand Strings/Sec",655.3 MBytes/Sec,"53,460 KBytes/Sec",197 Frames/Sec,"1,317 Million Matrices/Sec",259
