id,name,description,cpu_class,socket,clock_speed,turbo_speed,cores,threads,total_cores,primary_cores,secondary_cores,performance_cores,efficient_cores,typical_tdp,tdp_down,tdp_up,cache_per_cpu_package,cache_per_effective_cpu_package,memory_support,other_names,first_seen_on_charts,cpu_mark_per_dollar_price,overall_rank,last_price_change,multi_thread_rating,single_thread_rating,num_samples,margin_for_error,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,relative_gaming_score
2295,Intel Celeron 1020E @ 2.20GHz,,Laptop,"FCBGA1023, FCP",2.2 GHz,,2,2,,,,,,35 W,,,,,,Intel(R) Celeron(R) CPU 1020E @ 2.20GHz,Q3 2014,31.26,3661st fastest in multithreading out of 5149 CPUs; 2962nd fastest in single threading out of 5149 CPUs; 873rd fastest in out of 1491 Laptop CPUs,$44.99 USD (2024-06-10),1406,1224,1,High,NA,NA,NA,NA,NA,NA,NA,NA,
2296,Intel Core i3-4150T @ 3.00GHz,Intel HD Graphics 4400,Desktop,FCLGA1150,3.0 GHz,,2,4,,,,,,35 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 3 MB,,"Max. Memory Size: 32 GB (DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V, ECC Supported)",Intel(R) Core(TM) i3-4150T CPU @ 3.00GHz,Q3 2014,6.89,2749th fastest in multithreading out of 5149 CPUs; 2310th fastest in single threading out of 5149 CPUs; 809th fastest in out of 1449 Desktop CPUs,$417.42 USD (2021-05-26),2875,1576,118,Low,"9,988 MOps/Sec","5,056 MOps/Sec",13 Million Primes/Sec,"5,819 Thousand Strings/Sec",762.4 MBytes/Sec,"42,027 KBytes/Sec",246 Frames/Sec,"2,731 Million Matrices/Sec",388
2297,Intel Xeon E3-1226 v3 @ 3.30GHz,,Server,FCLGA1150,3.3 GHz,3.7 GHz,4,4,,,,,,84 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,"Max. Memory Size: 32 GB (DDR3 and DDR3L 1333/1600 at 1.5V, ECC Supported)",Intel(R) Xeon(R) CPU E3-1226 v3 @ 3.30GHz,Q3 2014,8.65,2000th fastest in multithreading out of 5149 CPUs; 1480th fastest in single threading out of 5149 CPUs; 810th fastest in out of 1105 Server CPUs,$639.00 USD (2024-05-09),5528,2102,223,Low,"16,004 MOps/Sec","12,145 MOps/Sec",40 Million Primes/Sec,"10,418 Thousand Strings/Sec","1,382 MBytes/Sec","77,340 KBytes/Sec",457 Frames/Sec,"6,165 Million Matrices/Sec",
2299,Intel Pentium G3450 @ 3.40GHz,,Desktop,FCLGA1150,3.4 GHz,,2,2,,,,,,53 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 3 MB,,,"Intel(R) Pentium(R) CPU G3450 @ 3.40GHz, Intel Pentium CPU G3450 @ 3.40GHz",Q3 2014,NA,3138th fastest in multithreading out of 5149 CPUs; 1813th fastest in single threading out of 5149 CPUs; 918th fastest in out of 1449 Desktop CPUs,NA,2182,1900,114,Low,"7,635 MOps/Sec","5,799 MOps/Sec",17 Million Primes/Sec,"4,819 Thousand Strings/Sec",465.4 MBytes/Sec,"36,609 KBytes/Sec",225 Frames/Sec,"1,371 Million Matrices/Sec",395
2301,Intel Atom Z3775 @ 1.46GHz,,Laptop,UTFCBGA1380,1.5 GHz,2.4 GHz,4,4,,,,,,4 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 24 KB; L2 Cache: 2 x 1024 KB,,,Intel(R) Atom(TM) CPU Z3775 @ 1.46GHz,Q3 2014,1.41,4374th fastest in multithreading out of 5149 CPUs; 4466th fastest in single threading out of 5149 CPUs; 1148th fastest in out of 1491 Laptop CPUs,$500.00 USD (2020-04-01),704,505,205,Low,977 MOps/Sec,"1,424 MOps/Sec",2 Million Primes/Sec,"3,054 Thousand Strings/Sec",449.3 MBytes/Sec,"21,225 KBytes/Sec",122 Frames/Sec,287 Million Matrices/Sec,94
2304,Intel Xeon E5-2430 v2 @ 2.50GHz,,Server,LGA 1356,2.5 GHz,3.0 GHz,6,12,,,,,,80 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 4096 KB; L3 Cache: 16 MB,,"Max. Memory Size: 384 GB (DDR3 800/1066/1333/1600, ECC Supported)","Intel(R) Xeon(R) CPU E5-2430 v2 @ 2.50GHz, Intel Xeon CPU E5-2430 v2 @ 2.50GHz",Q3 2014,NA,1672nd fastest in multithreading out of 5149 CPUs; 2498th fastest in single threading out of 5149 CPUs; 719th fastest in out of 1105 Server CPUs,NA,7179,1475,17,Medium,"26,088 MOps/Sec","13,266 MOps/Sec",38 Million Primes/Sec,"16,471 Thousand Strings/Sec","2,098 MBytes/Sec","119,561 KBytes/Sec",516 Frames/Sec,"5,134 Million Matrices/Sec",
2305,AMD A4-4020 APU,,Desktop,FM2,3.2 GHz,3.4 GHz,2 (in 2 physical modules),,,,,,,65 W,,,L1 Instruction Cache: 2 x 16 KB; L1 Data Cache: 2 x 64 KB; L2 Cache: 2 x 1024 KB,,,AMD A4-4020 APU with Radeon(tm) HD Graphics,Q3 2014,12.05,3764th fastest in multithreading out of 5149 CPUs; 2979th fastest in single threading out of 5149 CPUs; 1137th fastest in out of 1449 Desktop CPUs,$105.37 USD (2022-11-12),1269,1218,62,Low,"8,208 MOps/Sec","2,224 MOps/Sec",5 Million Primes/Sec,"2,655 Thousand Strings/Sec",386.9 MBytes/Sec,"21,345 KBytes/Sec",125 Frames/Sec,516 Million Matrices/Sec,289
2307,AMD A4-6210 APU,,Laptop,FT3b,1.8 GHz,,4,4,,,,,,15 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 1 x 2048 KB,,,AMD A4-6210 APU with AMD Radeon R3 Graphics,Q3 2014,NA,3594th fastest in multithreading out of 5149 CPUs; 4203rd fastest in single threading out of 5149 CPUs; 858th fastest in out of 1491 Laptop CPUs,NA,1506,607,420,Low,"8,974 MOps/Sec","2,240 MOps/Sec",5 Million Primes/Sec,"3,375 Thousand Strings/Sec",483.7 MBytes/Sec,"25,484 KBytes/Sec",105 Frames/Sec,806 Million Matrices/Sec,133
2308,AMD E1-6010 APU,AMD Radeon R2 Graphics,Laptop,FT3b,1.4 GHz,,2,2,,,,,,10 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 1 x 1024 KB,,,AMD E1-6010 APU with AMD Radeon R2 Graphics,Q3 2014,NA,4579th fastest in multithreading out of 5149 CPUs; 4659th fastest in single threading out of 5149 CPUs; 1240th fastest in out of 1491 Laptop CPUs,NA,538,427,447,Low,"2,956 MOps/Sec",780 MOps/Sec,2 Million Primes/Sec,"1,149 Thousand Strings/Sec",167.6 MBytes/Sec,"8,671 KBytes/Sec",49 Frames/Sec,275 Million Matrices/Sec,108
2311,AMD A8-7600 APU,,Desktop,FM2+,3.1 GHz,3.8 GHz,4 (in 2 physical modules),,,,,,,65 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 96 KB; L2 Cache: 4 x 2048 KB,,,"AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G",Q3 2014,13.12,2605th fastest in multithreading out of 5149 CPUs; 2552nd fastest in single threading out of 5149 CPUs; 759th fastest in out of 1449 Desktop CPUs,$244.96 USD (2024-12-26),3213,1446,1868,Low,"18,800 MOps/Sec","5,268 MOps/Sec",12 Million Primes/Sec,"6,148 Thousand Strings/Sec",895.0 MBytes/Sec,"53,585 KBytes/Sec",229 Frames/Sec,"1,991 Million Matrices/Sec",448
2312,Intel Core i5-4278U @ 2.60GHz,,Laptop,FCBGA1168,2.6 GHz,3.1 GHz,2,4,,,,,,28 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 3 MB,,"Max. Memory Size: 16 GB (DDR3L-1333, 1600;, LPDDR3-1333, 1600)","Intel(R) Core(TM) i5-4278U CPU @ 2.60GHz, Intel Core i5-4278U CPU @ 2.60GHz",Q3 2014,NA,2768th fastest in multithreading out of 5149 CPUs; 2109th fastest in single threading out of 5149 CPUs; 638th fastest in out of 1491 Laptop CPUs,NA,2831,1711,561,Low,"9,772 MOps/Sec","4,791 MOps/Sec",11 Million Primes/Sec,"5,379 Thousand Strings/Sec",825.3 MBytes/Sec,"46,974 KBytes/Sec",257 Frames/Sec,"2,029 Million Matrices/Sec",409
2314,Intel Core i7-4870HQ @ 2.50GHz,,Laptop,FCBGA1364,2.5 GHz,3.7 GHz,4,8,,,,,,47 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 6 MB,,Max. Memory Size: 32 GB (DDR3L 1333/1600),"Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz, Intel Core i7-4870HQ CPU @ 2.50GHz",Q3 2014,NA,1830th fastest in multithreading out of 5149 CPUs; 1573rd fastest in single threading out of 5149 CPUs; 444th fastest in out of 1491 Laptop CPUs,NA,6307,2052,877,Low,"22,784 MOps/Sec","11,105 MOps/Sec",45 Million Primes/Sec,"11,197 Thousand Strings/Sec","1,799 MBytes/Sec","97,016 KBytes/Sec",841 Frames/Sec,"4,154 Million Matrices/Sec",989
2315,AMD Opteron 1385,,Server,"AM2+,AM3",2.7 GHz,,4,4,,,,,,115 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 512 KB; L3 Cache: 6 MB,,,Quad-Core AMD Opteron(tm) Processor 1385,Q3 2014,46.42,3193rd fastest in multithreading out of 5149 CPUs; 3311th fastest in single threading out of 5149 CPUs; 980th fastest in out of 1105 Server CPUs,$45.00 USD (2020-11-17),2089,1069,8,Medium,"6,776 MOps/Sec","4,461 MOps/Sec",14 Million Primes/Sec,"5,846 Thousand Strings/Sec",605.0 MBytes/Sec,"49,523 KBytes/Sec",164 Frames/Sec,"1,286 Million Matrices/Sec",
2316,Intel Core M-5Y10 @ 0.80GHz,,Laptop,,0.8 GHz,2.0 GHz,2,4,,,,,,4.5 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 4 MB,,Max. Memory Size: 16 GB (LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600),Intel(R) Processor 5Y10 CPU @ 0.80GHz,Q3 2014,NA,3486th fastest in multithreading out of 5149 CPUs; 3499th fastest in single threading out of 5149 CPUs; 834th fastest in out of 1491 Laptop CPUs,NA,1644,976,55,Low,"5,113 MOps/Sec","3,537 MOps/Sec",9 Million Primes/Sec,"2,917 Thousand Strings/Sec",433.7 MBytes/Sec,"22,546 KBytes/Sec",170 Frames/Sec,"1,386 Million Matrices/Sec",322
2317,Intel Core i3-4160 @ 3.60GHz,,Desktop,FCLGA1150,3.6 GHz,,2,4,,,,,,54 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 3 MB,,"Max. Memory Size: 32 GB (DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V, ECC Supported)","Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz, Intel Core i3-4160 CPU @ 3.60GHz",Q3 2014,NA,2474th fastest in multithreading out of 5149 CPUs; 1673rd fastest in single threading out of 5149 CPUs; 712th fastest in out of 1449 Desktop CPUs,NA,3510,1984,2413,Low,"12,156 MOps/Sec","6,142 MOps/Sec",15 Million Primes/Sec,"6,995 Thousand Strings/Sec",957.3 MBytes/Sec,"51,159 KBytes/Sec",269 Frames/Sec,"3,312 Million Matrices/Sec",446
