hdd_ssd_id,timestamp,price
2,1349157600000,74.99
2,1349503200000,64.99
2,1350021600000,74.99
2,1350453600000,79.99
2,1350799200000,64.99
2,1351404000000,79.99
2,1351663200000,74.99
2,1353049200000,79.99
2,1354086000000,103.03
2,1354258800000,74.99
2,1354345200000,73.99
2,1354690800000,84.99
2,1355295600000,103.03
2,1355554800000,84.99
2,1356332400000,74.99
2,1356505200000,84.99
2,1357887600000,103.03
2,1358492400000,84.99
2,1360479600000,499.99
2,1360652400000,84.99
2,1360911600000,259.99
2,1361084400000,129.99
2,1361430000000,124.99
2,1362121200000,109.99
2,1362380400000,124.99
2,1362981600000,129.99
2,1363586400000,119.99
2,1363759200000,129.99
2,1363845600000,134.99
2,1363932000000,124.99
2,1364796000000,134.99
2,1366783200000,99.99
2,1367647200000,259.99
2,1368770400000,277.9
2,1369375200000,134.99
2,1369893600000,259.99
2,1369980000000,134.99
2,1370930400000,259.99
2,1372140000000,139.99
2,1372744800000,134.99
2,1375768800000,124.99
2,1376114400000,134.99
2,1377237600000,139.99
2,1377756000000,129.99
2,1380952800000,128.99
2,1381039200000,129.99
2,1381471200000,128.99
2,1381989600000,124.99
2,1383458400000,179.95
2,1383721200000,229.95
2,1384326000000,249.95
2,1384412400000,159.99
2,1397196000000,529.95
2,1399615200000,159.99
2,1400306400000,529.95
2,1402293600000,474.99
2,1402984800000,520.0
2,1403244000000,474.99
2,1403416800000,520.0
2,1406181600000,473.95
2,1407909600000,520.0
2,1407996000000,473.95
2,1408600800000,520.0
2,1418972400000,468.95
2,1419231600000,520.0
2,1419318000000,468.95
2,1419404400000,520.0
2,1419490800000,468.95
2,1420095600000,520.0
2,1422514800000,464.45
2,1423033200000,520.0
2,1438149600000,575.99
3,1300773600000,69.99
3,1416294000000,168.89
3,1491458400000,168.85
3,1506751200000,49.99
3,1522735200000,129.89
3,1522908000000,129.79
3,1523080800000,129.59
6,1300773600000,87.99
6,1302328800000,89.99
6,1302674400000,87.99
6,1303624800000,89.99
6,1303970400000,79.99
6,1304316000000,89.99
6,1305957600000,84.99
6,1313042400000,89.99
6,1313128800000,79.99
6,1313560800000,89.99
6,1315375200000,84.99
6,1319176800000,119.99
6,1319608800000,129.99
6,1319695200000,139.99
6,1319868000000,149.99
6,1320127200000,199.99
6,1320300000000,204.99
6,1320386400000,219.99
6,1321686000000,209.0
6,1324191600000,249.99
6,1326265200000,209.99
6,1326956400000,179.99
6,1327129200000,159.99
6,1328943600000,169.99
6,1329289200000,129.99
6,1329462000000,169.99
6,1329894000000,129.99
6,1330239600000,119.99
6,1330412400000,114.99
6,1330585200000,169.99
6,1330844400000,129.99
6,1331532000000,114.99
6,1331704800000,119.99
6,1331791200000,114.99
6,1331877600000,139.99
6,1332050400000,129.99
6,1332568800000,139.99
6,1334296800000,134.99
6,1337407200000,139.99
6,1337839200000,149.99
6,1338703200000,169.99
6,1402207200000,169.95
6,1404885600000,249.95
6,1413784800000,194.36
6,1426140000000,159.95
6,1620885600000,35.0
6,1621058400000,38.5
6,1621144800000,35.0
6,1621490400000,159.0
6,1621663200000,38.5
6,1622181600000,159.0
6,1622268000000,38.5
6,1622354400000,35.0
6,1622786400000,159.0
6,1623391200000,38.5
6,1623477600000,34.5
6,1623564000000,159.0
6,1623650400000,34.5
6,1626328800000,64.5
6,1626415200000,34.5
6,1626501600000,109.13
6,1626847200000,34.5
6,1627020000000,109.13
6,1628056800000,34.5
6,1628229600000,109.13
6,1629180000000,65.0
6,1630130400000,109.13
6,1630476000000,65.0
6,1631426400000,35.0
6,1631599200000,65.0
6,1641538800000,185.0
6,1642143600000,149.99
6,1642575600000,176.49
6,1643698800000,109.13
6,1645772400000,176.49
6,1647669600000,109.13
6,1658296800000,185.0
6,1689660000000,180.99
6,1689832800000,185.0
6,1690178400000,180.99
6,1690264800000,22.49
6,1690437600000,180.99
